arabidopsis_thaliana	populus_trichocarpa
AT2G30100	Potri.009G075200
AT5G53580	Potri.015G006900
AT2G28480	Potri.007G129600
AT1G24095	Potri.008G147000
AT1G80570	Potri.017G053400
AT1G70200	Potri.008G146700
AT4G21130	Potri.007G107900
AT4G38980	Potri.009G124000
AT4G33670	Potri.009G081300
AT5G35100	Potri.006G189900
AT3G29240	Potri.004G125800
AT1G59600	Potri.002G118300
AT1G30845	Potri.005G235800
AT5G18475	Potri.002G103600
AT1G05440	Potri.010G086100
AT1G65700	Potri.001G278000
AT2G07340	Potri.006G079700
AT5G50690	Potri.016G048900
AT5G48040	Potri.002G230900
AT2G43760	Potri.001G272100
AT4G30825	Potri.006G005100
AT3G06960	Potri.010G002800
AT3G29290	Potri.017G090500
AT2G01913	Potri.010G101500
AT5G23395	Potri.010G254600
AT4G15520	Potri.008G198200
AT4G08280	Potri.002G085200
AT4G13020	Potri.002G247500
AT4G28740	Potri.014G194500
AT3G24820	Potri.002G242200
AT5G22820	Potri.009G151100
AT3G10210	Potri.006G043166
AT5G64010	Potri.005G064951
AT5G16100	Potri.006G223100
AT5G42070	Potri.003G141700
AT5G21040	Potri.009G157900
AT5G51680	Potri.015G132000
AT4G24910	Potri.015G096900
AT4G32260	Potri.018G026500
AT1G63990	Potri.001G099100
AT4G22580	Potri.003G112200
AT4G25080	Potri.015G105702
AT5G03455	Potri.006G122700
AT3G27050	Potri.001G329600
AT3G14760	Potri.011G103500
AT3G57180	Potri.006G044700
AT4G01600	Potri.014G109700
AT3G47070	Potri.009G043600
AT3G18580	Potri.012G058800
AT1G27461	Potri.014G015300
AT1G48140	Potri.002G245800
AT4G19070	Potri.001G132400
AT5G48740	Potri.002G242700
AT3G62880	Potri.014G128900
AT3G06600	Potri.012G102300
AT3G23100	Potri.010G075900
AT2G04900	Potri.014G164500
AT2G35320	Potri.001G144000
AT1G01220	Potri.014G101400
AT4G27540	Potri.011G116200
AT3G04020	Potri.010G205900
AT5G54860	Potri.011G137400
AT2G19870	Potri.018G087800
AT5G27390	Potri.013G026500
AT5G25070	Potri.002G000800
AT4G22010	Potri.004G010100
AT4G37160	Potri.007G038200
AT5G66920	Potri.007G038300
AT5G51480	Potri.015G127200
AT5G02160	Potri.006G087701
AT1G06500	Potri.002G058800
AT3G13780	Potri.001G196700
AT4G09550	Potri.016G034200
AT4G32915	Potri.018G058200
AT1G12830	Potri.017G061400
AT5G62140	Potri.012G134500
AT5G24070	Potri.007G132800
AT4G39400	Potri.007G078100
AT5G10700	Potri.018G008000
AT1G29270	Potri.011G070000
AT1G21710	Potri.005G180700
AT1G35420	Potri.019G079000
AT5G49800	Potri.004G231000
AT5G47190	Potri.001G152200
AT3G58570	Potri.016G061900
AT5G04000	Potri.016G044001
AT3G29280	Potri.017G090400
AT3G09080	Potri.006G096400
AT3G26540	Potri.002G075300
AT2G32650	Potri.014G156900
AT5G11760	Potri.018G056000
AT4G25210	Potri.009G088400
AT5G14280	Potri.007G119800
AT1G09220	Potri.013G054400
AT1G16820	Potri.003G175366
AT2G38500	Potri.016G134500
AT2G41750	Potri.006G051600
AT1G72600	Potri.003G064900
AT5G14105	Potri.017G066388
AT3G11890	Potri.006G198500
AT1G76080	Potri.005G245700
AT1G75810	Potri.005G241200
AT5G49610	Potri.010G149000
AT5G03560	Potri.016G096900
AT3G61113	Potri.014G078200
AT3G47830	Potri.015G071300
AT5G48870	Potri.009G072500
AT5G51545	Potri.015G129600
AT1G02020	Potri.002G146100
AT3G22250	Potri.016G019400
AT5G21910	Potri.006G220500
AT5G27920	Potri.013G013100
AT3G52150	Potri.009G065900
AT3G56830	Potri.002G146000
AT4G31560	Potri.003G203300
AT5G18390	Potri.019G025700
AT1G77090	Potri.002G072400
AT1G77405	Potri.002G080300
AT5G03700	Potri.008G016900
AT5G54880	Potri.001G423900
AT3G16250	Potri.001G186800
AT5G56120	Potri.011G167900
AT5G37055	Potri.013G152600
AT3G15140	Potri.011G141300
AT1G04985	Potri.014G159600
AT2G23260	Potri.009G095550
AT4G01790	Potri.014G112200
AT1G29700	Potri.008G117600
AT3G14900	Potri.001G390600
AT3G54120	Potri.016G110200
AT5G52110	Potri.015G138400
AT5G16360	Potri.013G043100
AT1G53120	Potri.011G119800
AT3G48550	Potri.015G096500
AT4G25315	Potri.004G189300
AT1G59990	Potri.008G193800
AT3G44380	Potri.001G218400
AT4G39040	Potri.009G122500
AT5G45190	Potri.003G148800
AT3G59680	Potri.019G112300
AT2G17140	Potri.004G205600
AT5G39650	Potri.010G168400
AT3G58590	Potri.019G091000
AT1G11440	Potri.011G032700
AT1G70070	Potri.010G038500
AT4G05430	Potri.019G012000
AT3G29300	Potri.018G079400
AT3G08740	Potri.016G136600
AT1G65610	Potri.010G177300
AT5G49720	Potri.003G151700
AT1G56345	Potri.013G009300
AT1G18680	Potri.012G067700
AT3G03070	Potri.013G082100
AT4G10470	Potri.011G149601
AT5G44460	Potri.016G142000
AT5G13400	Potri.001G068600
AT5G08050	Potri.015G058600
AT5G05110	Potri.016G030900
AT5G12140	Potri.006G033201
AT3G27550	Potri.001G343700
AT3G12870	Potri.005G096100
AT3G58450	Potri.016G064000
AT3G54090	Potri.016G109600
AT1G32310	Potri.003G095100
AT1G67660	Potri.010G054800
AT1G71760	Potri.002G062800
AT2G04845	Potri.014G161800
AT2G38920	Potri.016G064600
AT1G77020	Potri.005G185800
AT1G76700	Potri.005G260400
AT1G20070	Potri.005G241800
AT3G18800	Potri.019G006500
AT3G60590	Potri.014G061000
AT5G24314	Potri.015G010700
AT1G01180	Potri.002G177500
AT1G71500	Potri.019G073900
AT2G21970	Potri.005G084200
AT2G15270	Potri.001G300300
AT1G19025	Potri.007G106700
AT2G36930	Potri.016G093500
AT4G02830	Potri.005G208800
AT1G70820	Potri.008G131400
AT5G09250	Potri.007G101100
AT2G44990	Potri.014G056800
AT5G63905	Potri.014G015866
AT3G62020	Potri.014G110400
AT1G11240	Potri.011G043400
AT3G44665	Potri.009G146800
AT1G52530	Potri.001G201700
AT3G17668	Potri.014G179800
AT5G13190	Potri.003G165900
AT5G23230	Potri.003G003300
AT2G34610	Potri.011G083600
AT4G28025	Potri.006G175600
AT5G54600	Potri.001G415400
AT5G47400	Potri.001G155800
AT1G12244	Potri.004G225600
AT3G25905	Potri.010G124900
AT3G60480	Potri.014G054300
AT1G55370	Potri.019G034000
AT2G19790	Potri.006G149100
AT3G17160	Potri.010G148400
AT5G44000	Potri.014G192300
AT5G53045	Potri.015G011500
AT3G24030	Potri.003G174400
AT2G27470	Potri.009G163500
AT4G19140	Potri.003G103000
AT5G61370	Potri.012G068400
AT3G56010	Potri.010G186800
AT5G09880	Potri.009G137200
AT5G51700	Potri.015G132300
AT3G02820	Potri.010G097400
AT2G36240	Potri.006G068700
AT2G01390	Potri.005G127500
AT2G47450	Potri.009G140500
AT1G18730	Potri.012G068500
AT2G31440	Potri.007G127400
AT3G48540	Potri.015G096400
AT2G14620	Potri.009G083800
AT2G15910	Potri.009G109100
AT3G12955	Potri.011G143400
AT1G13870	Potri.008G094600
AT4G30180	Potri.018G090200
ATCG00470	Potri.007G062142
AT2G02180	Potri.010G097900
AT3G57770	Potri.013G020100
AT3G16175	Potri.003G051900
AT5G50930	Potri.015G105900
AT1G72030	Potri.005G054600
AT3G55820	Potri.010G192300
AT5G54740	Potri.011G134600
AT5G53730	Potri.015G002400
AT1G77980	Potri.007G087500
AT5G65080	Potri.003G170000
AT3G57390	Potri.006G048700
AT4G22950	Potri.003G119700
AT2G45660	Potri.014G074200
AT1G20990	Potri.005G258800
AT5G57230	Potri.018G143500
AT2G24090	Potri.018G102700
AT4G29870	Potri.018G139600
AT1G16290	Potri.010G172300
AT3G52480	Potri.016G071700
AT3G55760	Potri.008G159500
AT5G43290	Potri.016G099900
AT5G50290	Potri.015G078700
AT5G14590	Potri.001G347800
AT1G65930	Potri.017G144541
AT5G67070	Potri.014G026900
AT4G37925	Potri.005G183000
AT2G42110	Potri.016G045700
AT4G27380	Potri.001G406900
AT4G33925	Potri.009G091800
AT1G73140	Potri.001G376700
AT5G40400	Potri.017G071600
AT1G69750	Potri.001G187200
AT1G75690	Potri.005G237800
AT5G11800	Potri.018G054100
AT5G01300	Potri.016G121000
AT2G30040	Potri.009G073200
AT4G08240	Potri.002G086200
AT5G14910	Potri.001G350500
AT3G51140	Potri.007G015600
AT3G06780	Potri.010G006600
AT2G23670	Potri.007G034300
AT2G43110	Potri.014G150100
AT4G11175	Potri.018G038900
AT1G76240	Potri.005G249500
AT5G19940	Potri.006G276400
AT1G74070	Potri.012G058700
AT2G32350	Potri.017G037600
AT5G59140	Potri.009G037800
AT4G21445	Potri.011G041800
AT1G02180	Potri.014G044500
AT4G07950	Potri.012G015900
AT3G02220	Potri.004G116800
AT2G46130	Potri.014G090700
AT5G39210	Potri.004G120300
AT4G14190	Potri.014G149500
AT3G51610	Potri.016G134700
AT3G19800	Potri.005G094700
AT3G47490	Potri.009G004200
AT1G49050	Potri.015G053300
AT1G07740	Potri.003G204100
AT2G33560	Potri.005G258300
AT4G13195	Potri.012G019400
AT2G04850	Potri.014G161700
AT5G19370	Potri.009G069300
AT2G22650	Potri.018G112600
AT1G01290	Potri.014G099500
AT3G25545	Potri.010G134600
AT5G46650	Potri.003G093500
AT2G20760	Potri.019G102000
AT3G51890	Potri.016G114700
AT2G15390	Potri.008G090000
AT5G64480	Potri.009G080400
AT5G09876	Potri.007G076600
AT5G59500	Potri.009G033700
AT1G17640	Potri.003G040900
AT5G52970	Potri.016G092300
AT3G09310	Potri.016G099700
AT1G74120	Potri.018G051600
AT5G64320	Potri.006G015900
AT2G16630	Potri.004G169200
AT3G53700	Potri.004G013300
AT1G09450	Potri.005G003400
AT4G00530	Potri.014G082800
AT1G18290	Potri.015G036800
AT5G14510	Potri.001G344200
AT1G50320	Potri.007G074000
AT4G38920	Potri.004G163400
AT1G19910	Potri.007G014600
AT4G29470	Potri.006G149700
AT2G21720	Potri.013G062700
AT3G52220	Potri.010G240300
AT1G06440	Potri.002G245100
AT5G06590	Potri.016G064200
AT1G74350	Potri.005G063750
AT2G25830	Potri.006G238400
AT1G43900	Potri.005G186001
AT5G53140	Potri.015G019200
AT3G63480	Potri.005G038900
AT5G53650	Potri.015G006500
AT3G54900	Potri.014G141200
AT2G44870	Potri.004G030100
AT1G70985	Potri.010G113100
AT1G14150	Potri.010G166800
AT5G48130	Potri.014G164000
AT3G01660	Potri.001G340900
AT1G49975	Potri.009G086400
AT4G13690	Potri.003G177900
AT3G45880	Potri.009G025400
AT5G40020	Potri.017G075500
AT4G24930	Potri.015G097700
AT4G10160	Potri.013G095100
AT1G73340	Potri.017G154600
AT1G28440	Potri.011G058100
AT4G25190	Potri.001G126000
AT1G33500	Potri.013G095400
AT1G13690	Potri.010G157000
AT2G48070	Potri.014G137300
AT5G61850	Potri.015G106900
AT3G44716	Potri.009G148200
AT5G18970	Potri.008G200300
AT3G08490	Potri.009G061300
AT1G07050	Potri.009G077100
AT4G40045	Potri.010G234900
AT1G17510	Potri.005G078400
AT5G41685	Potri.018G146602
AT5G37670	Potri.017G130700
AT5G54980	Potri.010G208300
AT4G34600	Potri.009G119900
AT3G52155	Potri.016G000900
AT3G15900	Potri.001G202000
AT5G26749	Potri.013G004801
AT4G28700	Potri.013G049925
AT5G02750	Potri.016G082500
AT4G20300	Potri.003G157500
AT5G05660	Potri.010G188700
AT2G38420	Potri.006G106400
AT5G25570	Potri.012G125000
AT5G58110	Potri.018G151500
AT5G49150	Potri.007G124900
AT4G24700	Potri.015G084200
AT1G32320	Potri.010G049500
AT3G21220	Potri.010G249300
AT4G09350	Potri.013G109000
AT5G48905	Potri.006G195532
AT4G18400	Potri.004G133260
AT5G03050	Potri.014G110300
AT1G64500	Potri.003G141800
AT5G23440	Potri.010G255500
AT1G03650	Potri.013G134102
AT3G50970	Potri.002G013200
AT4G39130	Potri.009G120100
AT1G76180	Potri.005G248100
AT3G02065	Potri.014G140100
AT2G32090	Potri.010G087000
AT3G59400	Potri.017G030100
AT3G55390	Potri.010G207000
AT2G36835	Potri.006G122200
AT5G42450	Potri.006G213200
AT5G57520	Potri.018G094300
AT5G16020	Potri.004G104500
AT5G04830	Potri.010G241700
AT1G27050	Potri.010G034500
AT5G66631	Potri.005G128600
AT1G69980	Potri.010G039466
AT5G57370	Potri.018G091300
AT4G20325	Potri.006G281101
AT1G69210	Potri.010G157300
AT1G10030	Potri.002G112700
AT5G35770	Potri.014G166400
AT5G08060	Potri.004G123700
AT2G33690	Potri.005G145200
AT4G09620	Potri.013G113500
AT2G38730	Potri.003G194500
AT5G16950	Potri.001G082000
AT5G26731	Potri.005G000700
AT2G24860	Potri.018G016400
AT5G42957	Potri.004G115351
AT2G30380	Potri.019G128300
AT5G46080	Potri.011G058300
AT1G77540	Potri.005G178501
AT4G19550	Potri.001G082800
AT3G61810	Potri.010G193700
AT1G64770	Potri.019G034100
AT5G43210	Potri.001G260600
AT4G25600	Potri.012G142800
AT3G17350	Potri.010G152900
AT1G71692	Potri.019G076800
AT2G01870	Potri.001G257400
AT5G49560	Potri.007G025600
AT5G02710	Potri.006G215300
AT5G05220	Potri.013G090200
AT4G30840	Potri.006G180300
AT1G80290	Potri.006G278400
AT2G36010	Potri.016G072300
AT1G47870	Potri.002G023400
AT4G29035	Potri.016G066900
AT3G24060	Potri.003G175200
AT5G12070	Potri.018G148700
AT3G20680	Potri.011G132500
AT1G54050	Potri.003G071100
AT1G80860	Potri.003G182400
AT2G21530	Potri.009G156900
AT2G41760	Potri.006G051500
AT3G56290	Potri.019G056400
AT1G53520	Potri.011G101800
AT1G78880	Potri.010G252500
AT4G22290	Potri.011G022600
AT2G03420	Potri.010G161400
AT4G13500	Potri.014G167300
AT1G08580	Potri.019G049300
AT1G53330	Potri.011G108500
AT3G15115	Potri.001G372800
AT3G47430	Potri.003G108900
AT1G77710	Potri.005G173800
AT2G33180	Potri.001G053700
AT2G30395	Potri.019G128400
AT1G70760	Potri.010G110400
AT3G27750	Potri.003G051400
AT2G46850	Potri.002G181100
AT3G60650	Potri.014G060400
AT2G21195	Potri.019G071800
AT5G66090	Potri.005G109100
AT1G01840	Potri.014G077000
AT1G79400	Potri.003G194200
AT4G16510	Potri.008G135980
AT1G69200	Potri.008G097300
AT4G00500	Potri.014G083600
AT1G74580	Potri.010G234500
AT1G57540	Potri.013G002301
AT4G12710	Potri.014G170100
AT1G08380	Potri.009G160800
AT3G22070	Potri.017G040750
AT4G16410	Potri.006G017500
AT4G05220	Potri.011G027400
AT4G29660	Potri.012G001800
AT5G20130	Potri.016G013500
AT5G36100	Potri.019G052300
AT3G22450	Potri.008G153100
AT5G15320	Potri.009G125832
AT1G07985	Potri.001G266500
AT5G43180	Potri.016G137800
AT5G11840	Potri.006G229600
AT5G47810	Potri.016G002700
AT5G20885	Potri.018G046900
AT3G18840	Potri.009G113500
AT5G41720	Potri.017G066400
AT2G17972	Potri.005G115000
AT1G72060	Potri.019G080600
AT4G01897	Potri.002G191200
AT3G09870	Potri.016G092400
AT1G66080	Potri.004G082100
AT1G28150	Potri.004G066900
AT1G80150	Potri.003G062700
AT4G20260	Potri.003G157100
AT5G40500	Potri.017G071300
AT3G59530	Potri.017G027600
AT5G15802	Potri.017G099600
AT5G48170	Potri.014G165700
AT2G14045	Potri.019G014100
AT1G73320	Potri.017G153900
AT5G43250	Potri.001G055000
AT3G52620	Potri.016G078700
AT5G43068	Potri.014G022000
AT4G30010	Potri.018G142500
AT5G35970	Potri.013G073900
AT3G51760	Potri.016G123700
AT3G15250	Potri.011G116600
AT1G51650	Potri.010G250000
AT1G51690	Potri.018G055001
AT1G68730	Potri.010G132400
AT2G34060	Potri.011G062300
AT5G20935	Potri.009G155300
AT1G75430	Potri.005G232000
AT2G22790	Potri.007G008900
AT4G37940	Potri.009G079000
AT2G26250	Potri.006G218000
AT3G52160	Potri.006G080400
AT5G49070	Potri.015G133700
AT1G08390	Potri.004G190200
AT2G27590	Potri.004G184400
AT2G24395	Potri.006G278250
AT2G46735	Potri.002G178100
AT4G16146	Potri.010G141300
AT2G15020	Potri.009G094100
AT4G04360	Potri.004G006500
AT4G16807	Potri.003G080700
AT3G11150	Potri.008G069800
AT3G62810	Potri.014G129800
AT4G02140	Potri.014G124500
AT5G51800	Potri.012G132300
AT2G24940	Potri.018G016900
AT3G06890	Potri.010G013100
AT1G80080	Potri.001G202100
AT4G33640	Potri.017G042432
AT4G18372	Potri.015G138100
AT4G01935	Potri.014G117500
AT3G15352	Potri.011G119000
AT1G31490	Potri.001G128100
AT5G26720	Potri.013G000200
AT5G45680	Potri.001G075500
AT2G28105	Potri.004G215300
AT4G13620	Potri.017G055400
AT2G33520	Potri.017G061800
AT5G03210	Potri.016G089400
AT1G14345	Potri.010G093300
AT5G50830	Potri.012G103600
AT5G36000	Potri.014G098300
AT1G77350	Potri.019G066600
AT5G32440	Potri.018G127200
AT5G02510	Potri.005G121100
AT4G12970	Potri.002G249901
AT1G20430	Potri.002G013601
AT1G65580	Potri.010G177400
AT2G43900	Potri.017G006900
AT5G14990	Potri.010G222200
AT1G10800	Potri.014G147600
AT2G28790	Potri.009G028800
AT1G54500	Potri.013G035700
AT1G21510	Potri.002G076200
AT5G12460	Potri.009G051701
AT3G17060	Potri.008G104800
AT3G18870	Potri.004G150600
AT1G50600	Potri.001G361700
AT5G06920	Potri.013G152200
AT3G48970	Potri.015G144300
AT3G21680	Potri.014G153200
AT5G13770	Potri.010G098700
AT4G16460	Potri.016G009800
AT5G07475	Potri.003G150300
AT3G14060	Potri.003G067200
ATMG00730	Potri.007G062402
AT4G19350	Potri.004G235300
AT5G19570	Potri.018G084400
AT5G36120	Potri.005G199000
AT2G33585	Potri.005G257100
AT1G07850	Potri.009G026300
AT5G45510	Potri.003G101000
AT1G07060	Potri.001G281500
AT1G29000	Potri.014G178800
AT1G77860	Potri.002G090400
AT3G15780	Potri.001G192500
AT3G53950	Potri.016G103400
AT4G26415	Potri.001G001000
AT2G17705	Potri.005G107700
AT1G03330	Potri.004G219000
AT1G77170	Potri.006G164100
AT5G42785	Potri.005G228800
AT1G19240	Potri.006G137401
AT4G15248	Potri.017G039400
AT3G57785	Potri.016G051400
AT3G42628	Potri.002G214100
AT5G12970	Potri.T085601
AT5G03435	Potri.011G052000
AT5G06850	Potri.006G058700
AT3G03680	Potri.013G066500
AT3G47670	Potri.003G123500
AT1G74880	Potri.007G106500
AT2G36145	Potri.006G210000
AT2G01150	Potri.010G118000
AT5G18540	Potri.008G216700
AT1G15190	Potri.019G002300
AT5G47320	Potri.019G101950
AT1G26220	Potri.008G113600
AT1G61570	Potri.011G149800
AT5G43650	Potri.010G077000
AT5G21430	Potri.006G221900
AT2G35300	Potri.003G090501
AT1G78790	Potri.012G090600
AT4G03150	Potri.014G135400
AT1G73655	Potri.012G048300
AT4G14870	Potri.008G153400
AT5G65207	Potri.007G086000
AT1G27435	Potri.001G325000
AT5G55570	Potri.011G085700
AT3G57320	Potri.006G046800
AT4G21870	Potri.011G001600
AT1G52560	Potri.001G192600
AT5G11550	Potri.018G039701
AT5G66980	Potri.007G035500
AT2G39440	Potri.012G120220
AT3G53470	Potri.016G084000
AT5G52780	Potri.004G072900
AT3G42150	Potri.002G086300
AT5G52190	Potri.015G140600
AT4G28160	Potri.013G144200
AT1G24450	Potri.015G073900
AT3G52820	Potri.003G030700
AT5G63720	Potri.007G098300
AT3G15280	Potri.001G398300
AT5G58750	Potri.009G045700
AT3G54680	Potri.013G120700
AT3G51320	Potri.005G109800
AT5G17860	Potri.019G040301
AT3G14070	Potri.003G066900
AT5G52220	Potri.015G140200
AT1G62340	Potri.011G010700
AT1G76065	Potri.014G181400
AT1G48200	Potri.002G084400
AT1G05020	Potri.014G158600
AT1G34640	Potri.002G096700
AT3G12345	Potri.010G213600
AT4G28485	Potri.017G016300
AT5G27370	Potri.013G027200
AT1G75125	Potri.003G137900
AT1G74730	Potri.015G065100
AT5G09830	Potri.001G309200
AT2G20515	Potri.005G224600
AT5G43260	Potri.003G171800
AT1G26500	Potri.016G086100
AT5G54180	Potri.015G005200
AT3G62450	Potri.005G071700
AT4G20150	Potri.003G156301
AT4G14890	Potri.010G087300
AT5G18920	Potri.010G028000
ATCG01080	Potri.013G075100
AT4G14615	Potri.010G079100
AT2G25720	Potri.004G068400
AT1G68500	Potri.010G124700
AT1G53390	Potri.010G225200
AT5G60740	Potri.003G169000
AT1G71865	Potri.019G086700
AT2G01590	Potri.010G110100
AT5G44005	Potri.014G192100
AT1G21500	Potri.013G128700
AT3G60000	Potri.016G000300
AT2G36885	Potri.016G098900
AT3G09580	Potri.001G344800
AT5G19040	Potri.010G030500
AT3G63110	Potri.014G139300
AT5G02502	Potri.010G207100
AT1G65032	Potri.005G094100
AT1G05205	Potri.018G093501
AT2G01755	Potri.008G135400
AT3G51380	Potri.005G106300
AT2G44360	Potri.001G230100
AT4G24060	Potri.003G144500
AT4G10010	Potri.019G073100
AT5G39420	Potri.017G088200
AT3G05050	Potri.013G032200
AT5G50860	Potri.015G103300
AT1G55670	Potri.011G168700
AT5G16460	Potri.013G085850
AT5G45660	Potri.011G076600
AT4G33100	Potri.006G224400
AT1G31335	Potri.006G127000
AT3G59840	Potri.001G146700
AT4G26020	Potri.018G141232
AT3G62160	Potri.014G113600
AT1G10417	Potri.008G190600
AT3G07910	Potri.T125106
AT3G56030	Potri.008G141700
AT1G31240	Potri.015G118200
AT1G77400	Potri.005G181200
AT4G01030	Potri.014G097000
AT5G57420	Potri.018G092300
AT5G44265	Potri.017G013200
AT3G13970	Potri.003G064300
AT1G79420	Potri.014G019900
AT3G54826	Potri.008G037300
AT5G08480	Potri.004G134200
AT1G53130	Potri.011G118600
AT5G07960	Potri.015G056300
AT2G31920	Potri.009G024800
AT5G67490	Potri.015G017700
AT3G44020	Potri.009G155700
AT1G09195	Potri.005G020100
AT1G09900	Potri.002G109500
AT3G04760	Potri.019G019300
AT1G13310	Potri.010G128700
AT5G41250	Potri.001G105300
AT3G14370	Potri.001G435900
AT3G52040	Potri.009G056800
AT1G07130	Potri.005G212900
AT2G23070	Potri.005G146000
AT4G33510	Potri.001G150500
AT4G39980	Potri.005G073300
AT5G63135	Potri.012G085100
AT1G67540	Potri.010G057800
AT4G30845	Potri.006G180200
AT1G09370	Potri.005G007100
AT5G08320	Potri.005G090400
AT5G14270	Potri.001G335000
AT3G51750	Potri.016G124000
AT1G74340	Potri.003G095701
AT5G13220	Potri.003G165000
AT5G04010	Potri.006G044801
AT5G48460	Potri.002G251600
AT1G45474	Potri.014G029700
AT4G21192	Potri.004G227500
AT2G41200	Potri.006G038600
AT2G34010	Potri.004G052900
AT3G12740	Potri.010G173900
AT5G46150	Potri.011G082100
AT2G32360	Potri.017G037500
AT4G36680	Potri.007G028400
AT4G02725	Potri.005G210700
AT2G36295	Potri.004G142600
AT3G19508	Potri.009G094200
AT5G16160	Potri.017G116500
AT2G44925	Potri.014G054900
AT5G24355	Potri.006G252800
AT5G23960	Potri.019G045400
AT3G62610	Potri.010G141000
AT4G01680	Potri.014G111200
AT3G28470	Potri.017G075000
AT5G14340	Potri.001G336700
AT2G31180	Potri.005G224100
AT1G79180	Potri.007G067600
AT5G54230	Potri.011G125900
AT3G53200	Potri.006G122100
AT5G40330	Potri.015G075800
AT2G41610	Potri.014G108300
AT3G09925	Potri.006G119100
AT2G31690	Potri.014G150700
AT1G14750	Potri.010G103800
AT4G24110	Potri.003G147800
AT3G45050	Potri.009G008400
AT4G00895	Potri.014G102100
AT3G12180	Potri.016G051000
AT3G48490	Potri.015G091100
AT4G14805	Potri.010G085000
AT2G03890	Potri.017G101500
AT1G64800	Potri.016G001800
AT3G62790	Potri.014G129600
AT2G20490	Potri.005G226300
AT1G75717	Potri.005G238400
AT3G51325	Potri.005G109600
AT1G56555	Potri.005G038200
AT4G21610	Potri.004G043100
