Gene,Arabidopsis,best_arabi_defline
Potri.001G004200,AT1G55325,RNA polymerase II transcription mediators
Potri.001G004300,AT4G26310,elongation factor P (EF-P) family protein
Potri.001G004300,AT4G26310,elongation factor P (EF-P) family protein
Potri.001G004366,,
Potri.001G004432,,
Potri.001G004500,AT5G19760,Mitochondrial substrate carrier family protein
Potri.001G004600,,
Potri.001G004700,AT5G19790,related to AP2 11
Potri.001G004800,AT5G19820,ARM repeat superfamily protein
Potri.001G004900,,
Potri.001G005000,AT5G19830,Peptidyl-tRNA hydrolase family protein
Potri.001G005100,AT3G13540,myb domain protein 5
Potri.001G005400,,
Potri.001G005500,AT4G08810,calcium ion binding
Potri.001G005500,AT4G08810,calcium ion binding
Potri.001G005600,,
Potri.001G005600,,
Potri.001G005600,,
Potri.001G005700,AT4G25650,ACD1-like
Potri.001G005900,AT4G25650,ACD1-like
Potri.001G006000,AT2G42820,HVA22-like protein F
Potri.001G006100,,
Potri.001G006200,AT3G13600,calmodulin-binding family protein
Potri.001G006250,,
Potri.001G006300,AT1G55300,TBP-associated factor 7
Potri.001G006400,AT3G13570,SC35-like splicing factor 30A
Potri.001G006400,AT3G13570,SC35-like splicing factor 30A
Potri.001G006500,AT3G13560,O-Glycosyl hydrolases family 17 protein
Potri.001G006600,AT1G55320,acyl-activating enzyme 18
Potri.001G006700,AT1G55320,acyl-activating enzyme 18
Potri.001G006750,,
Potri.001G006800,AT1G55290,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Potri.001G006850,,
Potri.001G006901,AT1G55290,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Potri.001G006951,,
Potri.001G007000,,
Potri.001G007100,AT1G55290,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Potri.001G007200,,
Potri.001G007232,,
Potri.001G007300,AT3G13620,Amino acid permease family protein
Potri.001G007400,AT5G09280,Pectin lyase-like superfamily protein
Potri.001G007501,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007700,,
Potri.001G007800,AT2G42500,protein phosphatase 2A-3
Potri.001G007900,AT3G58570,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G007900,AT3G58570,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G007900,AT3G58570,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G007900,AT3G58570,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G008000,AT1G55270,Galactose oxidase/kelch repeat superfamily protein
Potri.001G008080,,
Potri.001G008160,,
Potri.001G008240,AT1G55265,"Protein of unknown function, DUF538"
Potri.001G008320,AT1G55265,"Protein of unknown function, DUF538"
Potri.001G008400,AT5G19860,"Protein of unknown function, DUF538"
Potri.001G008400,AT5G19860,"Protein of unknown function, DUF538"
Potri.001G008500,,
Potri.001G008600,,
Potri.001G008600,,
Potri.001G008700,AT3G32940,RNA-binding KH domain-containing protein
Potri.001G008700,AT3G32940,RNA-binding KH domain-containing protein
Potri.001G008700,AT3G32940,RNA-binding KH domain-containing protein
Potri.001G008700,AT3G32940,RNA-binding KH domain-containing protein
Potri.001G008700,AT3G32940,RNA-binding KH domain-containing protein
Potri.001G008800,AT1G55250,histone mono-ubiquitination 2
Potri.001G008900,AT1G55240,Family of unknown function (DUF716)
Potri.001G009000,AT1G55240,Family of unknown function (DUF716)
Potri.001G009100,AT3G13650,Disease resistance-responsive (dirigent-like protein) family protein
Potri.001G009200,AT5G19875,
Potri.001G009300,,
Potri.001G009501,AT2G20480,
Potri.001G009600,AT1G69770,chromomethylase 3
Potri.001G009700,AT3G13670,Protein kinase family protein
Potri.001G009800,AT2G34860,DnaJ/Hsp40 cysteine-rich domain superfamily protein
Potri.001G009800,AT2G34860,DnaJ/Hsp40 cysteine-rich domain superfamily protein
Potri.001G010000,AT3G58060,Cation efflux family protein
Potri.001G010200,AT3G58060,Cation efflux family protein
Potri.001G010300,AT3G58060,Cation efflux family protein
Potri.001G010400,AT4G10620,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G010500,,
Potri.001G010500,,
Potri.001G010600,,
Potri.001G010700,,
Potri.001G010700,,
Potri.001G010800,AT1G50480,10-formyltetrahydrofolate synthetase
Potri.001G010900,,
Potri.001G011000,AT2G38380,Peroxidase superfamily protein
Potri.001G011200,AT2G38380,Peroxidase superfamily protein
Potri.001G011300,AT2G38380,Peroxidase superfamily protein
Potri.001G011401,,
Potri.001G011500,,
Potri.001G011700,AT1G51110,Plastid-lipid associated protein PAP / fibrillin family protein
Potri.001G011800,AT5G19900,"PRLI-interacting factor, putative"
Potri.001G011900,AT3G07160,glucan synthase-like 10
Potri.001G011900,AT3G07160,glucan synthase-like 10
Potri.001G011900,AT3G07160,glucan synthase-like 10
Potri.001G012200,AT5G13000,glucan synthase-like 12
Potri.001G012200,AT5G13000,glucan synthase-like 12
Potri.001G012200,AT5G13000,glucan synthase-like 12
Potri.001G012300,,
Potri.001G012300,,
Potri.001G012401,,
Potri.001G012500,,
Potri.001G012601,,
Potri.001G012700,,
Potri.001G012800,AT2G18220,Noc2p family
Potri.001G012901,AT2G38380,Peroxidase superfamily protein
Potri.001G013000,AT2G38380,Peroxidase superfamily protein
Potri.001G013101,,
Potri.001G013200,AT3G12130,KH domain-containing protein / zinc finger (CCCH type) family protein
Potri.001G013300,AT1G73240,(1 of 1) PTHR13269:SF6 - NUCLEOPORIN NDC1
Potri.001G013300,AT1G73240,(1 of 1) PTHR13269:SF6 - NUCLEOPORIN NDC1
Potri.001G013400,AT5G19640,Major facilitator superfamily protein
Potri.001G013500,AT2G05990,NAD(P)-binding Rossmann-fold superfamily protein
Potri.001G013600,AT2G42150,DNA-binding bromodomain-containing protein
Potri.001G013600,AT2G42150,DNA-binding bromodomain-containing protein
Potri.001G013700,AT5G19630,alpha/beta-Hydrolases superfamily protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013800,AT5G13020,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
Potri.001G013900,AT5G13030,"(1 of 1) PF02696 - Uncharacterized ACR, YdiU/UPF0061 family (UPF0061)"
Potri.001G014000,AT1G04640,lipoyltransferase 2
Potri.001G014025,,
Potri.001G014050,,
Potri.001G014100,AT5G60900,receptor-like protein kinase 1
Potri.001G014200,,
Potri.001G014301,,
Potri.001G014401,,
Potri.001G014501,,
Potri.001G014600,AT5G60900,receptor-like protein kinase 1
Potri.001G014700,AT5G60900,receptor-like protein kinase 1
Potri.001G014900,,
Potri.001G014900,,
Potri.001G015000,AT3G57930,(1 of 2) PTHR34055:SF4 - EXPRESSED PROTEIN
Potri.001G015100,AT3G60130,beta glucosidase 16
Potri.001G015300,AT3G45140,lipoxygenase 2
Potri.001G015300,AT3G45140,lipoxygenase 2
Potri.001G015400,AT3G45140,lipoxygenase 2
Potri.001G015450,,
Potri.001G015500,AT3G45140,lipoxygenase 2
Potri.001G015601,,
Potri.001G015700,AT5G12970,Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein
Potri.001G015801,,
Potri.001G015900,AT1G73730,ETHYLENE-INSENSITIVE3-like 3
Potri.001G015900,AT1G73730,ETHYLENE-INSENSITIVE3-like 3
Potri.001G015966,,
Potri.001G016032,,
Potri.001G016100,,
Potri.001G016200,AT3G20810,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Potri.001G016300,AT5G12890,UDP-Glycosyltransferase superfamily protein
Potri.001G016500,AT5G12890,UDP-Glycosyltransferase superfamily protein
Potri.001G016600,AT5G12900,
Potri.001G016600,AT5G12900,
Potri.001G016700,AT5G10400,Histone superfamily protein
Potri.001G016800,AT5G12920,Transducin/WD40 repeat-like superfamily protein
Potri.001G016900,AT5G10400,Histone superfamily protein
Potri.001G017000,AT4G12070,
Potri.001G017000,AT4G12070,
Potri.001G017000,AT4G12070,
Potri.001G017100,AT5G12930,
Potri.001G017300,AT1G51140,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Potri.001G017500,AT3G20820,Leucine-rich repeat (LRR) family protein
Potri.001G017600,AT4G31980,(1 of 1) PF03140//PF05903 - Plant protein of unknown function (DUF247)  // PPPDE putative peptidase domain (Peptidase_C97)
Potri.001G017900,AT4G31980,(1 of 1) PF03140//PF05903 - Plant protein of unknown function (DUF247)  // PPPDE putative peptidase domain (Peptidase_C97)
Potri.001G018100,AT2G39725,LYR family of Fe/S cluster biogenesis protein
Potri.001G018100,AT2G39725,LYR family of Fe/S cluster biogenesis protein
Potri.001G018200,AT5G12960,Putative glycosyl hydrolase of unknown function (DUF1680)
Potri.001G018300,AT1G51170,Protein kinase superfamily protein
Potri.001G018400,AT1G51190,Integrase-type DNA-binding superfamily protein
Potri.001G018500,AT5G13070,MSF1-like family protein
Potri.001G018600,AT1G51200,A20/AN1-like zinc finger family protein
Potri.001G018600,AT1G51200,A20/AN1-like zinc finger family protein
Potri.001G018700,,
Potri.001G018700,,
Potri.001G018700,,
Potri.001G018700,,
Potri.001G018800,AT3G20870,ZIP metal ion transporter family
Potri.001G018900,,
Potri.001G019000,AT5G19620,outer envelope protein of 80 kDa
Potri.001G019000,AT5G19620,outer envelope protein of 80 kDa
Potri.001G019000,AT5G19620,outer envelope protein of 80 kDa
Potri.001G019000,AT5G19620,outer envelope protein of 80 kDa
Potri.001G019100,,
Potri.001G019100,,
Potri.001G019100,,
Potri.001G019200,,
Potri.001G019400,,
Potri.001G019400,,
Potri.001G019500,AT2G22410,SLOW GROWTH 1
Potri.001G019600,,
Potri.001G019600,,
Potri.001G019700,,
Potri.001G019795,,
Potri.001G019795,,
Potri.001G019890,,
Potri.001G019890,,
Potri.001G019985,,
Potri.001G020080,,
Potri.001G020140,,
Potri.001G020200,,
Potri.001G020200,,
Potri.001G020200,,
Potri.001G020250,,
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020300,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Potri.001G020400,,
Potri.001G020501,,
Potri.001G020600,,
Potri.001G020700,AT5G13470,
Potri.001G020900,AT3G63440,cytokinin oxidase/dehydrogenase 6
Potri.001G021000,AT5G13460,IQ-domain 11
Potri.001G021100,AT3G51940,
Potri.001G021200,,
Potri.001G021300,,
Potri.001G021500,,
Potri.001G021600,,
Potri.001G021801,,
Potri.001G021900,,
Potri.001G022100,,
Potri.001G022150,,
Potri.001G022400,,
Potri.001G022500,AT4G31560,high chlorophyll fluorescence 153
Potri.001G022601,,
Potri.001G022700,AT3G08550,elongation defective 1 protein / ELD1 protein
Potri.001G022800,,
Potri.001G022900,AT3G51930,Transducin/WD40 repeat-like superfamily protein
Potri.001G022900,AT3G51930,Transducin/WD40 repeat-like superfamily protein
Potri.001G022900,AT3G51930,Transducin/WD40 repeat-like superfamily protein
Potri.001G023000,AT5G18250,
Potri.001G023000,AT5G18250,
Potri.001G023100,,
Potri.001G023200,AT4G30880,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Potri.001G023300,AT4G30880,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Potri.001G023400,,
Potri.001G023500,,
Potri.001G023500,,
Potri.001G023600,,
Potri.001G023701,,
Potri.001G023800,,
Potri.001G023900,,
Potri.001G024000,AT3G15750,"Essential protein Yae1, N-terminal"
Potri.001G024100,AT3G54570,Plant calmodulin-binding protein-related
Potri.001G024200,AT2G38780,
Potri.001G024300,AT1G52340,NAD(P)-binding Rossmann-fold superfamily protein
Potri.001G024401,,
Potri.001G024500,AT1G63780,Ribosomal RNA processing Brix domain protein
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024600,,
Potri.001G024800,AT2G38760,annexin 3
Potri.001G024900,AT2G38750,annexin 4
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025100,AT3G54500,
Potri.001G025200,,
Potri.001G025200,,
Potri.001G025300,AT3G62250,ubiquitin 5
Potri.001G025400,,
Potri.001G025400,,
Potri.001G025400,,
Potri.001G025400,,
Potri.001G025400,,
Potri.001G025500,AT3G54490,"RNA polymerase II fifth largest subunit, E"
Potri.001G025500,AT3G54490,"RNA polymerase II fifth largest subunit, E"
Potri.001G025601,AT3G54480,SKP1/ASK-interacting protein 5
Potri.001G025701,AT5G20710,beta-galactosidase 7
Potri.001G025800,AT5G20710,beta-galactosidase 7
Potri.001G026000,AT3G14180,sequence-specific DNA binding transcription factors
Potri.001G026100,AT3G07300,NagB/RpiA/CoA transferase-like superfamily protein
Potri.001G026200,,
Potri.001G026300,AT3G54470,uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)
Potri.001G026400,,
Potri.001G026501,,
Potri.001G026600,AT5G13810,Glutaredoxin family protein
Potri.001G026700,AT5G59560,sensitivity to red light reduced protein (SRR1)
Potri.001G026700,AT5G59560,sensitivity to red light reduced protein (SRR1)
Potri.001G026800,AT5G13480,Transducin/WD40 repeat-like superfamily protein
Potri.001G026900,,
Potri.001G026900,,
Potri.001G027000,,
Potri.001G027100,AT3G54450,Major facilitator superfamily protein
Potri.001G027232,AT2G40030,nuclear RNA polymerase D1B
Potri.001G027232,AT2G40030,nuclear RNA polymerase D1B
Potri.001G027232,AT2G40030,nuclear RNA polymerase D1B
Potri.001G027232,AT2G40030,nuclear RNA polymerase D1B
Potri.001G027232,AT2G40030,nuclear RNA polymerase D1B
Potri.001G027400,AT3G54440,glycoside hydrolase family 2 protein
Potri.001G027500,,
Potri.001G027600,,
Potri.001G027700,AT3G54430,SHI-related sequence 6
Potri.001G027700,AT3G54430,SHI-related sequence 6
Potri.001G027800,,
Potri.001G027900,AT3G07960,Phosphatidylinositol-4-phosphate 5-kinase family protein
Potri.001G027950,,
Potri.001G027950,,
Potri.001G028000,AT3G27890,NADPH:quinone oxidoreductase
Potri.001G028100,AT5G13500,
Potri.001G028100,AT5G13500,
Potri.001G028100,AT5G13500,
Potri.001G028100,AT5G13500,
Potri.001G028200,AT5G07030,Eukaryotic aspartyl protease family protein
Potri.001G028300,AT1G08315,ARM repeat superfamily protein
Potri.001G028300,AT1G08315,ARM repeat superfamily protein
Potri.001G028400,AT3G54390,sequence-specific DNA binding transcription factors
Potri.001G028500,AT3G06730,Thioredoxin z
Potri.001G028600,,
Potri.001G028750,,
Potri.001G028750,,
Potri.001G028900,,
Potri.001G029000,,
Potri.001G029300,AT3G14470,NB-ARC domain-containing disease resistance protein
Potri.001G029300,AT3G14470,NB-ARC domain-containing disease resistance protein
Potri.001G029300,AT3G14470,NB-ARC domain-containing disease resistance protein
Potri.001G029400,,
Potri.001G029400,,
Potri.001G029500,AT3G12600,nudix hydrolase homolog 16
Potri.001G029600,AT5G13530,protein kinases;ubiquitin-protein ligases
Potri.001G029600,AT5G13530,protein kinases;ubiquitin-protein ligases
Potri.001G029600,AT5G13530,protein kinases;ubiquitin-protein ligases
Potri.001G029600,AT5G13530,protein kinases;ubiquitin-protein ligases
Potri.001G029700,,
Potri.001G029800,AT3G12250,TGACG motif-binding factor 6
Potri.001G029800,AT3G12250,TGACG motif-binding factor 6
Potri.001G029800,AT3G12250,TGACG motif-binding factor 6
Potri.001G029900,AT3G12260,LYR family of Fe/S cluster biogenesis protein
Potri.001G030000,AT2G38730,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Potri.001G030100,AT5G06970,Protein of unknown function (DUF810)
Potri.001G030100,AT5G06970,Protein of unknown function (DUF810)
Potri.001G030100,AT5G06970,Protein of unknown function (DUF810)
Potri.001G030100,AT5G06970,Protein of unknown function (DUF810)
Potri.001G030200,AT3G12270,protein arginine methyltransferase 3
Potri.001G030300,,
Potri.001G030401,,
Potri.001G030600,AT2G22590,UDP-Glycosyltransferase superfamily protein
Potri.001G030750,AT1G29940,nuclear RNA polymerase A2
Potri.001G030900,,
Potri.001G031200,,
Potri.001G031200,,
Potri.001G031400,AT3G12280,retinoblastoma-related 1
Potri.001G031400,AT3G12280,retinoblastoma-related 1
Potri.001G031400,AT3G12280,retinoblastoma-related 1
Potri.001G031400,AT3G12280,retinoblastoma-related 1
Potri.001G031500,AT5G22130,mannosyltransferase family protein
Potri.001G031600,,
Potri.001G031700,AT5G09860,nuclear matrix protein-related
Potri.001G031700,AT5G09860,nuclear matrix protein-related
Potri.001G031800,AT3G12320,"(1 of 2) PTHR33334:SF2 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MQC3"
Potri.001G031800,AT3G12320,"(1 of 2) PTHR33334:SF2 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MQC3"
Potri.001G031800,AT3G12320,"(1 of 2) PTHR33334:SF2 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MQC3"
Potri.001G031900,AT5G06990,"Protein of unknown function, DUF617"
Potri.001G032000,AT1G74320,Protein kinase superfamily protein
Potri.001G032100,,
Potri.001G032100,,
Potri.001G032100,,
Potri.001G032200,AT5G07020,proline-rich family protein
Potri.001G032200,AT5G07020,proline-rich family protein
Potri.001G032200,AT5G07020,proline-rich family protein
Potri.001G032200,AT5G07020,proline-rich family protein
Potri.001G032300,AT5G07040,RING/U-box superfamily protein
Potri.001G032400,,
Potri.001G032500,AT5G07050,nodulin MtN21 /EamA-like transporter family protein
Potri.001G032566,,
Potri.001G032683,,
Potri.001G032800,,
Potri.001G032900,AT3G12490,cystatin B
Potri.001G033200,AT3G12480,"nuclear factor Y, subunit C11"
Potri.001G033400,,
Potri.001G033400,,
Potri.001G033400,,
Potri.001G033500,,
Potri.001G033600,,
Potri.001G033600,,
Potri.001G033800,,
Potri.001G033900,AT2G43190,ribonuclease P family protein
Potri.001G034100,,
Potri.001G034100,,
Potri.001G034200,AT5G13860,ELCH-like
Potri.001G034300,,
Potri.001G034300,,
Potri.001G034400,AT5G13850,nascent polypeptide-associated complex subunit alpha-like protein 3
Potri.001G034500,,
Potri.001G034600,,
Potri.001G034700,,
Potri.001G034700,,
Potri.001G034700,,
Potri.001G034700,,
Potri.001G034900,,
Potri.001G034933,,
Potri.001G034933,,
Potri.001G034966,,
Potri.001G035000,,
Potri.001G035200,,
Potri.001G035300,,
Potri.001G035400,,
Potri.001G035450,,
Potri.001G035500,,
Potri.001G035500,,
Potri.001G035500,,
Potri.001G035600,,
Potri.001G035600,,
Potri.001G035600,,
Potri.001G035700,AT3G54380,SAC3/GANP/Nin1/mts3/eIF-3 p25 family
Potri.001G035800,AT5G06110,DnaJ domain ;Myb-like DNA-binding domain
Potri.001G035800,AT5G06110,DnaJ domain ;Myb-like DNA-binding domain
Potri.001G035800,AT5G06110,DnaJ domain ;Myb-like DNA-binding domain
Potri.001G035800,AT5G06110,DnaJ domain ;Myb-like DNA-binding domain
Potri.001G035900,,
Potri.001G035900,,
Potri.001G036000,AT3G11440,myb domain protein 65
Potri.001G036000,AT3G11440,myb domain protein 65
Potri.001G036100,AT5G06120,ARM repeat superfamily protein
Potri.001G036100,AT5G06120,ARM repeat superfamily protein
Potri.001G036400,AT3G54360,zinc ion binding
Potri.001G036500,,
Potri.001G036600,,
Potri.001G036700,,
Potri.001G036800,AT5G04940,SU(VAR)3-9 homolog 1
Potri.001G036800,AT5G04940,SU(VAR)3-9 homolog 1
Potri.001G036900,AT1G51680,4-coumarate:CoA ligase 1
Potri.001G037000,,
Potri.001G037000,,
Potri.001G037000,,
Potri.001G037101,,
Potri.001G037200,AT3G14250,RING/U-box superfamily protein
Potri.001G037300,AT1G73110,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.001G037400,,
Potri.001G037500,,
Potri.001G037700,AT5G57330,Galactose mutarotase-like superfamily protein
Potri.001G037800,AT3G12660,FASCICLIN-like arabinogalactan protein 14 precursor
Potri.001G037900,AT1G79640,Protein kinase superfamily protein
Potri.001G037900,AT1G79640,Protein kinase superfamily protein
Potri.001G037900,AT1G79640,Protein kinase superfamily protein
Potri.001G038000,AT1G16190,Rad23 UV excision repair protein family
Potri.001G038100,AT1G16180,Serinc-domain containing serine and sphingolipid biosynthesis protein
Potri.001G038100,AT1G16180,Serinc-domain containing serine and sphingolipid biosynthesis protein
Potri.001G038200,AT1G79660,
Potri.001G038300,AT1G16260,Wall-associated kinase family protein
Potri.001G038500,,
Potri.001G038525,AT1G16260,Wall-associated kinase family protein
Potri.001G038750,AT1G79660,
Potri.001G038975,,
Potri.001G039200,AT1G16260,Wall-associated kinase family protein
Potri.001G039450,AT1G16260,Wall-associated kinase family protein
Potri.001G039700,AT1G79660,
Potri.001G039900,AT1G16260,Wall-associated kinase family protein
Potri.001G039900,AT1G16260,Wall-associated kinase family protein
Potri.001G040000,AT1G16260,Wall-associated kinase family protein
Potri.001G040100,AT1G16080,
Potri.001G040200,AT5G02380,metallothionein 2B
Potri.001G040300,AT1G79660,
Potri.001G040300,AT1G79660,
Potri.001G040400,,
Potri.001G040500,AT1G16260,Wall-associated kinase family protein
Potri.001G040600,AT1G16090,wall associated kinase-like 7
Potri.001G040628,AT1G16260,Wall-associated kinase family protein
Potri.001G040756,,
Potri.001G040884,,
Potri.001G041012,,
Potri.001G041140,AT1G16080,
Potri.001G041268,AT5G02380,metallothionein 2B
Potri.001G041400,AT1G16070,tubby like protein 8
Potri.001G041500,AT1G79700,Integrase-type DNA-binding superfamily protein
Potri.001G041550,,
Potri.001G041600,AT1G79710,Major facilitator superfamily protein
Potri.001G041700,AT1G79720,Eukaryotic aspartyl protease family protein
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041800,,
Potri.001G041900,AT1G80940,(1 of 1) PTHR37205:SF1 - F23A5.30 PROTEIN
Potri.001G041900,AT1G80940,(1 of 1) PTHR37205:SF1 - F23A5.30 PROTEIN
Potri.001G042000,,
Potri.001G042000,,
Potri.001G042000,,
Potri.001G042100,,
Potri.001G042200,,
Potri.001G042400,,
Potri.001G042500,,
Potri.001G042500,,
Potri.001G042600,,
Potri.001G042700,,
Potri.001G042800,,
Potri.001G042900,AT5G48930,hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase
Potri.001G042900,AT5G48930,hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase
Potri.001G043000,,
Potri.001G043000,,
Potri.001G043000,,
